id;parent_id;name;english_text;french_path;role;jhi_order
1;81693;e-business Balanced;navigate invoice front-end;synergies black;71745;85304
2;65750;Trafficway;Practical Soft Bacon Implementation interface;Rupiah;48460;27607
3;63624;EXE networks;Secured;calculating;23194;58523
4;25764;didactic solid state;solid state;bandwidth Mississippi Djibouti Franc;24466;94871
5;98533;calculating Awesome;budgetary management;Corporate;45600;51684
6;96099;clicks-and-mortar Landing maximize;Buckinghamshire Stravenue;Enterprise-wide Paradigm ivory;1474;86548
7;65289;technologies Forward;Electronics Nepal;distributed Sausages;57869;33645
8;78401;optical web services;generating;wireless solid state;51820;67465
9;31831;Future-proofed connecting;Forges Divide;Upgradable;97104;33393
10;73256;parsing Gloves;synthesizing;Square;15345;69450
